invoice_number	invoice_date	po_number	model_id	serial_number	unit_remarks1	amount	unit_remarks3	unit_remarks2
S/I-23-10-0244	20-Oct-23	P230162	Sokkia IX-1201	XS001444	"Robotic Total Station
SOKKIA IX-1201 / SPBWT (P/N 1042639-20) Auto Tracking Function robotic total station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x Power cable
1 x thumb drive"	 $16,500.00 	H3	Loan to H3 on 28/04/2025
S/I-23-10-0244	20-Oct-23	P230162	Sokkia IX-1201	XS001545	"Robotic Total Station
SOKKIA IX-1201 / SPBWT (P/N 1042639-20) Auto Tracking Function robotic total station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x Power cable
1 x thumb drive"	 $16,500.00 	H3	Purchased by H3 on 17/04/2025
MSP-0006	27-Mar-13	P1300060	Sokkia NET05AX	102214	NET05AXP51TM-21 (212040LA0) 3D Station	 $20,000.00 	S.D.M Company Limited	Purchased by SDM on 07/10/2025 I250268
S/I-002963	31-Dec-18	P1800229	Sokkia NET1AXTIIT/TE2	KH0322	"SOKKIA NET1AXT11T/TE2 Automated 3D Station complete with:
2 x BDC58 rechargeable battery
1 x CDC68 charger
1 x EDC113 cable for CDC68"	 $24,100.00 	S.D.M Company Limited	Purchased by SDM on 19/11/2025 I250316
S/I-24-04-0035	4-Apr-24	P230224	Sokkia NET1AXIIT/TE	HX0155	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 21/11/2025
S/I-25-07-0015	3-Jul-25	P250059	Sokkia NET1AXIIT/TE	HX0210	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 31/10/2025
S/I-25-10-0278	28-Oct-25	P250142	Sokkia NET1AXIIT/TE	HX0217	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 21/11/2025
S/I-25-07-0015	3-Jul-25	P250059	Sokkia NET1AXIIT/TE	HX0218	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 31/10/2025
S/I-25-07-0015	3-Jul-25	P250059	Sokkia NET1AXIIT/TE	HX0219	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 10/11/2025
S/I-25-06-0237	24-Jun-25	P250059	Sokkia NET1AXIIT/TE	HX0215	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 04/11/2025
